y_offset,z_offset,pitch,yaw,ik_code,state_valid,contacts,distance_from_original_contact
-0.01,0.005,-160.0,100.0,1,True,,0.011180339887498949
-0.005,0.01,-160.0,100.0,1,True,,0.011180339887498949
0.005,0.01,-160.0,100.0,1,True,,0.011180339887498949
0.01,0.005,-160.0,100.0,1,True,,0.011180339887498949
-0.01,0.005,-155.0,90.0,1,True,,0.011180339887498949
-0.005,0.01,-155.0,90.0,1,True,,0.011180339887498949
0.005,0.01,-155.0,90.0,1,True,,0.011180339887498949
0.01,0.005,-155.0,90.0,1,True,,0.011180339887498949
-0.01,0.005,-155.0,85.0,1,True,,0.011180339887498949
-0.01,0.005,-155.0,95.0,1,True,,0.011180339887498949
-0.005,0.01,-155.0,85.0,1,True,,0.011180339887498949
-0.005,0.01,-155.0,95.0,1,True,,0.011180339887498949
0.005,0.01,-155.0,95.0,1,True,,0.011180339887498949
0.01,0.005,-155.0,95.0,1,True,,0.011180339887498949
-0.01,0.005,-155.0,100.0,1,True,,0.011180339887498949
-0.005,0.01,-155.0,100.0,1,True,,0.011180339887498949
0.005,0.01,-155.0,100.0,1,True,,0.011180339887498949
0.01,0.005,-155.0,100.0,1,True,,0.011180339887498949
-0.01,0.005,-150.0,90.0,1,True,,0.011180339887498949
-0.005,0.01,-150.0,90.0,1,True,,0.011180339887498949
0.005,0.01,-150.0,90.0,1,True,,0.011180339887498949
0.01,0.005,-150.0,90.0,1,True,,0.011180339887498949
-0.01,0.005,-150.0,85.0,1,True,,0.011180339887498949
-0.01,0.005,-150.0,95.0,1,True,,0.011180339887498949
-0.005,0.01,-150.0,85.0,1,True,,0.011180339887498949
-0.005,0.01,-150.0,95.0,1,True,,0.011180339887498949
0.005,0.01,-150.0,95.0,1,True,,0.011180339887498949
0.01,0.005,-150.0,95.0,1,True,,0.011180339887498949
-0.01,0.005,-150.0,100.0,1,True,,0.011180339887498949
-0.005,0.01,-150.0,100.0,1,True,,0.011180339887498949
0.005,0.01,-150.0,100.0,1,True,,0.011180339887498949
0.01,0.005,-150.0,100.0,1,True,,0.011180339887498949
-0.01,0.01,-179.9,90.0,1,True,,0.01414213562373095
-0.01,0.01,-179.9,85.0,1,True,,0.01414213562373095
-0.01,0.01,-179.9,95.0,1,True,,0.01414213562373095
0.01,0.01,-179.9,95.0,1,True,,0.01414213562373095
-0.01,0.01,-179.9,100.0,1,True,,0.01414213562373095
0.01,0.01,-179.9,100.0,1,True,,0.01414213562373095
-0.01,0.01,-175.0,90.0,1,True,,0.01414213562373095
0.01,0.01,-175.0,90.0,1,True,,0.01414213562373095
-0.01,0.01,-175.0,85.0,1,True,,0.01414213562373095
-0.01,0.01,-175.0,95.0,1,True,,0.01414213562373095
0.01,0.01,-175.0,95.0,1,True,,0.01414213562373095
-0.01,0.01,-175.0,100.0,1,True,,0.01414213562373095
0.01,0.01,-175.0,100.0,1,True,,0.01414213562373095
-0.01,0.01,-170.0,90.0,1,True,,0.01414213562373095
0.01,0.01,-170.0,90.0,1,True,,0.01414213562373095
-0.01,0.01,-170.0,85.0,1,True,,0.01414213562373095
-0.01,0.01,-170.0,95.0,1,True,,0.01414213562373095
0.01,0.01,-170.0,95.0,1,True,,0.01414213562373095
-0.01,0.01,-170.0,100.0,1,True,,0.01414213562373095
0.01,0.01,-170.0,100.0,1,True,,0.01414213562373095
-0.01,0.01,-165.0,90.0,1,True,,0.01414213562373095
0.01,0.01,-165.0,90.0,1,True,,0.01414213562373095
-0.01,0.01,-165.0,85.0,1,True,,0.01414213562373095
-0.01,0.01,-165.0,95.0,1,True,,0.01414213562373095
0.01,0.01,-165.0,95.0,1,True,,0.01414213562373095
-0.01,0.01,-165.0,100.0,1,True,,0.01414213562373095
0.01,0.01,-165.0,100.0,1,True,,0.01414213562373095
-0.01,0.01,-160.0,90.0,1,True,,0.01414213562373095
0.01,0.01,-160.0,90.0,1,True,,0.01414213562373095
-0.01,0.01,-160.0,85.0,1,True,,0.01414213562373095
-0.01,0.01,-160.0,95.0,1,True,,0.01414213562373095
0.01,0.01,-160.0,95.0,1,True,,0.01414213562373095
-0.01,0.01,-160.0,100.0,1,True,,0.01414213562373095
0.01,0.01,-160.0,100.0,1,True,,0.01414213562373095
-0.01,0.01,-155.0,90.0,1,True,,0.01414213562373095
0.01,0.01,-155.0,90.0,1,True,,0.01414213562373095
-0.01,0.01,-155.0,85.0,1,True,,0.01414213562373095
-0.01,0.01,-155.0,95.0,1,True,,0.01414213562373095
0.01,0.01,-155.0,95.0,1,True,,0.01414213562373095
-0.01,0.01,-155.0,100.0,1,True,,0.01414213562373095
0.01,0.01,-155.0,100.0,1,True,,0.01414213562373095
-0.01,0.01,-150.0,90.0,1,True,,0.01414213562373095
0.01,0.01,-150.0,90.0,1,True,,0.01414213562373095
-0.01,0.01,-150.0,85.0,1,True,,0.01414213562373095
-0.01,0.01,-150.0,95.0,1,True,,0.01414213562373095
0.01,0.01,-150.0,95.0,1,True,,0.01414213562373095
-0.01,0.01,-150.0,100.0,1,True,,0.01414213562373095
0.01,0.01,-150.0,100.0,1,True,,0.01414213562373095
-0.015,0.0,-179.9,90.0,1,True,,0.015
0.0,0.015,-179.9,90.0,1,True,,0.015
-0.015,0.0,-179.9,95.0,1,True,,0.015
0.0,0.015,-179.9,95.0,1,True,,0.015
-0.015,0.0,-179.9,100.0,1,True,,0.015
0.0,0.015,-179.9,100.0,1,True,,0.015
-0.015,0.0,-175.0,90.0,1,True,,0.015
0.0,0.015,-175.0,90.0,1,True,,0.015
-0.015,0.0,-175.0,85.0,1,True,,0.015
-0.015,0.0,-175.0,95.0,1,True,,0.015
0.0,0.015,-175.0,85.0,1,True,,0.015
0.0,0.015,-175.0,95.0,1,True,,0.015
-0.015,0.0,-175.0,100.0,1,True,,0.015
0.0,0.015,-175.0,100.0,1,True,,0.015
-0.015,0.0,-170.0,90.0,1,True,,0.015
0.0,0.015,-170.0,90.0,1,True,,0.015
-0.015,0.0,-170.0,85.0,1,True,,0.015
-0.015,0.0,-170.0,95.0,1,True,,0.015
0.0,0.015,-170.0,85.0,1,True,,0.015
0.0,0.015,-170.0,95.0,1,True,,0.015
-0.015,0.0,-170.0,100.0,1,True,,0.015
0.0,0.015,-170.0,100.0,1,True,,0.015
-0.015,0.0,-165.0,90.0,1,True,,0.015
0.0,0.015,-165.0,90.0,1,True,,0.015
-0.015,0.0,-165.0,85.0,1,True,,0.015
-0.015,0.0,-165.0,95.0,1,True,,0.015
0.0,0.015,-165.0,85.0,1,True,,0.015
0.0,0.015,-165.0,95.0,1,True,,0.015
-0.015,0.0,-165.0,100.0,1,True,,0.015
0.0,0.015,-165.0,100.0,1,True,,0.015
-0.015,0.0,-160.0,90.0,1,True,,0.015
0.0,0.015,-160.0,90.0,1,True,,0.015
-0.015,0.0,-160.0,85.0,1,True,,0.015
-0.015,0.0,-160.0,95.0,1,True,,0.015
0.0,0.015,-160.0,85.0,1,True,,0.015
0.0,0.015,-160.0,95.0,1,True,,0.015
-0.015,0.0,-160.0,100.0,1,True,,0.015
0.0,0.015,-160.0,100.0,1,True,,0.015
-0.015,0.0,-155.0,90.0,1,True,,0.015
0.0,0.015,-155.0,90.0,1,True,,0.015
-0.015,0.0,-155.0,85.0,1,True,,0.015
-0.015,0.0,-155.0,95.0,1,True,,0.015
0.0,0.015,-155.0,85.0,1,True,,0.015
0.0,0.015,-155.0,95.0,1,True,,0.015
-0.015,0.0,-155.0,100.0,1,True,,0.015
0.0,0.015,-155.0,100.0,1,True,,0.015
-0.015,0.0,-150.0,90.0,1,True,,0.015
0.0,0.015,-150.0,90.0,1,True,,0.015
-0.015,0.0,-150.0,85.0,1,True,,0.015
-0.015,0.0,-150.0,95.0,1,True,,0.015
0.0,0.015,-150.0,85.0,1,True,,0.015
0.0,0.015,-150.0,95.0,1,True,,0.015
-0.015,0.0,-150.0,100.0,1,True,,0.015
0.0,0.015,-150.0,100.0,1,True,,0.015
-0.015,0.005,-179.9,90.0,1,True,,0.015811388300841896
-0.005,0.015,-179.9,90.0,1,True,,0.015811388300841896
0.005,0.015,-179.9,90.0,1,True,,0.015811388300841896
-0.015,0.005,-179.9,85.0,1,True,,0.015811388300841896
-0.015,0.005,-179.9,95.0,1,True,,0.015811388300841896
-0.005,0.015,-179.9,85.0,1,True,,0.015811388300841896
-0.005,0.015,-179.9,95.0,1,True,,0.015811388300841896
0.005,0.015,-179.9,95.0,1,True,,0.015811388300841896
-0.015,0.005,-179.9,100.0,1,True,,0.015811388300841896
-0.005,0.015,-179.9,100.0,1,True,,0.015811388300841896
0.005,0.015,-179.9,100.0,1,True,,0.015811388300841896
-0.015,0.005,-175.0,90.0,1,True,,0.015811388300841896
-0.005,0.015,-175.0,90.0,1,True,,0.015811388300841896
0.005,0.015,-175.0,90.0,1,True,,0.015811388300841896
-0.015,0.005,-175.0,85.0,1,True,,0.015811388300841896
-0.015,0.005,-175.0,95.0,1,True,,0.015811388300841896
-0.005,0.015,-175.0,85.0,1,True,,0.015811388300841896
-0.005,0.015,-175.0,95.0,1,True,,0.015811388300841896
0.005,0.015,-175.0,95.0,1,True,,0.015811388300841896
-0.015,0.005,-175.0,100.0,1,True,,0.015811388300841896
-0.005,0.015,-175.0,100.0,1,True,,0.015811388300841896
0.005,0.015,-175.0,100.0,1,True,,0.015811388300841896
-0.015,0.005,-170.0,90.0,1,True,,0.015811388300841896
-0.005,0.015,-170.0,90.0,1,True,,0.015811388300841896
0.005,0.015,-170.0,90.0,1,True,,0.015811388300841896
-0.015,0.005,-170.0,85.0,1,True,,0.015811388300841896
-0.015,0.005,-170.0,95.0,1,True,,0.015811388300841896
-0.005,0.015,-170.0,85.0,1,True,,0.015811388300841896
-0.005,0.015,-170.0,95.0,1,True,,0.015811388300841896
0.005,0.015,-170.0,95.0,1,True,,0.015811388300841896
-0.015,0.005,-170.0,100.0,1,True,,0.015811388300841896
-0.005,0.015,-170.0,100.0,1,True,,0.015811388300841896
0.005,0.015,-170.0,100.0,1,True,,0.015811388300841896
-0.015,0.005,-165.0,90.0,1,True,,0.015811388300841896
-0.005,0.015,-165.0,90.0,1,True,,0.015811388300841896
0.005,0.015,-165.0,90.0,1,True,,0.015811388300841896
-0.015,0.005,-165.0,85.0,1,True,,0.015811388300841896
-0.015,0.005,-165.0,95.0,1,True,,0.015811388300841896
-0.005,0.015,-165.0,85.0,1,True,,0.015811388300841896
-0.005,0.015,-165.0,95.0,1,True,,0.015811388300841896
0.005,0.015,-165.0,95.0,1,True,,0.015811388300841896
-0.015,0.005,-165.0,100.0,1,True,,0.015811388300841896
-0.005,0.015,-165.0,100.0,1,True,,0.015811388300841896
0.005,0.015,-165.0,100.0,1,True,,0.015811388300841896
-0.015,0.005,-160.0,90.0,1,True,,0.015811388300841896
-0.005,0.015,-160.0,90.0,1,True,,0.015811388300841896
0.005,0.015,-160.0,90.0,1,True,,0.015811388300841896
-0.015,0.005,-160.0,85.0,1,True,,0.015811388300841896
-0.015,0.005,-160.0,95.0,1,True,,0.015811388300841896
-0.005,0.015,-160.0,85.0,1,True,,0.015811388300841896
-0.005,0.015,-160.0,95.0,1,True,,0.015811388300841896
0.005,0.015,-160.0,85.0,1,True,,0.015811388300841896
0.005,0.015,-160.0,95.0,1,True,,0.015811388300841896
-0.015,0.005,-160.0,100.0,1,True,,0.015811388300841896
-0.005,0.015,-160.0,100.0,1,True,,0.015811388300841896
0.005,0.015,-160.0,100.0,1,True,,0.015811388300841896
-0.015,0.005,-155.0,90.0,1,True,,0.015811388300841896
-0.005,0.015,-155.0,90.0,1,True,,0.015811388300841896
0.005,0.015,-155.0,90.0,1,True,,0.015811388300841896
-0.015,0.005,-155.0,85.0,1,True,,0.015811388300841896
-0.015,0.005,-155.0,95.0,1,True,,0.015811388300841896
-0.005,0.015,-155.0,85.0,1,True,,0.015811388300841896
-0.005,0.015,-155.0,95.0,1,True,,0.015811388300841896
0.005,0.015,-155.0,85.0,1,True,,0.015811388300841896
0.005,0.015,-155.0,95.0,1,True,,0.015811388300841896
-0.015,0.005,-155.0,100.0,1,True,,0.015811388300841896
-0.005,0.015,-155.0,100.0,1,True,,0.015811388300841896
0.005,0.015,-155.0,100.0,1,True,,0.015811388300841896
-0.015,0.005,-150.0,90.0,1,True,,0.015811388300841896
-0.005,0.015,-150.0,90.0,1,True,,0.015811388300841896
0.005,0.015,-150.0,90.0,1,True,,0.015811388300841896
-0.015,0.005,-150.0,85.0,1,True,,0.015811388300841896
